"","area_name","date","week","signal"
"381","East of England","2021-08-07",11,NA
"382","East of England","2021-08-08",11,NA
"383","East of England","2021-08-09",11,NA
"384","East of England","2021-08-10",11,NA
"385","East of England","2021-08-11",11,30459
"386","East of England","2021-08-12",12,NA
"387","East of England","2021-08-13",12,NA
"388","East of England","2021-08-14",12,NA
"389","East of England","2021-08-15",12,NA
"390","East of England","2021-08-16",12,NA
"391","East of England","2021-08-17",12,NA
"392","East of England","2021-08-18",12,36582
"393","East of England","2021-08-19",13,NA
"394","East of England","2021-08-20",13,NA
"395","East of England","2021-08-21",13,NA
"396","East of England","2021-08-22",13,NA
"397","East of England","2021-08-23",13,NA
"398","East of England","2021-08-24",13,NA
"399","East of England","2021-08-25",13,54418
"400","East of England","2021-08-26",14,NA
"401","East of England","2021-08-27",14,NA
"402","East of England","2021-08-28",14,NA
"403","East of England","2021-08-29",14,NA
"404","East of England","2021-08-30",14,NA
"405","East of England","2021-08-31",14,NA
"406","East of England","2021-09-01",14,30206
"407","East of England","2021-09-02",15,NA
"408","East of England","2021-09-03",15,NA
"409","East of England","2021-09-04",15,NA
"410","East of England","2021-09-05",15,NA
"411","East of England","2021-09-06",15,NA
"412","East of England","2021-09-07",15,NA
"413","East of England","2021-09-08",15,35157
"414","East of England","2021-09-09",16,NA
"415","East of England","2021-09-10",16,NA
"416","East of England","2021-09-11",16,NA
"417","East of England","2021-09-12",16,NA
"418","East of England","2021-09-13",16,NA
"419","East of England","2021-09-14",16,NA
"420","East of England","2021-09-15",16,26077
"421","East of England","2021-09-16",17,NA
"422","East of England","2021-09-17",17,NA
"423","East of England","2021-09-18",17,NA
"424","East of England","2021-09-19",17,NA
"425","East of England","2021-09-20",17,NA
"426","East of England","2021-09-21",17,NA
"427","East of England","2021-09-22",17,18892
"428","East of England","2021-09-23",18,NA
"429","East of England","2021-09-24",18,NA
"430","East of England","2021-09-25",18,NA
"431","East of England","2021-09-26",18,NA
"432","East of England","2021-09-27",18,NA
"433","East of England","2021-09-28",18,NA
"434","East of England","2021-09-29",18,11695
"435","East of England","2021-09-30",19,NA
"436","East of England","2021-10-01",19,NA
"437","East of England","2021-10-02",19,NA
"438","East of England","2021-10-03",19,NA
"439","East of England","2021-10-04",19,NA
"440","East of England","2021-10-05",19,NA
"441","East of England","2021-10-06",19,14720
"442","East of England","2021-10-07",20,NA
"443","East of England","2021-10-08",20,NA
"444","East of England","2021-10-09",20,NA
"445","East of England","2021-10-10",20,NA
"446","East of England","2021-10-11",20,NA
"447","East of England","2021-10-12",20,NA
"448","East of England","2021-10-13",20,6456
"449","East of England","2021-10-14",21,NA
"450","East of England","2021-10-15",21,NA
"451","East of England","2021-10-16",21,NA
"452","East of England","2021-10-17",21,NA
"453","East of England","2021-10-18",21,NA
"454","East of England","2021-10-19",21,NA
"455","East of England","2021-10-20",21,4642
"456","East of England","2021-10-21",22,NA
"457","East of England","2021-10-22",22,NA
"458","East of England","2021-10-23",22,NA
"459","East of England","2021-10-24",22,NA
"460","East of England","2021-10-25",22,NA
"461","East of England","2021-10-26",22,NA
"462","East of England","2021-10-27",22,14015
"463","East of England","2021-10-28",23,NA
"464","East of England","2021-10-29",23,NA
"465","East of England","2021-10-30",23,NA
"466","East of England","2021-10-31",23,NA
"467","East of England","2021-11-01",23,NA
"468","East of England","2021-11-02",23,NA
"469","East of England","2021-11-03",23,7321
"470","East of England","2021-11-04",24,NA
"471","East of England","2021-11-05",24,NA
"472","East of England","2021-11-06",24,NA
"473","East of England","2021-11-07",24,NA
"474","East of England","2021-11-08",24,NA
"475","East of England","2021-11-09",24,NA
"476","East of England","2021-11-10",24,17900
"477","East of England","2021-11-11",25,NA
"478","East of England","2021-11-12",25,NA
"479","East of England","2021-11-13",25,NA
"480","East of England","2021-11-14",25,NA
"481","East of England","2021-11-15",25,NA
"482","East of England","2021-11-16",25,NA
"483","East of England","2021-11-17",25,10480
"484","East of England","2021-11-18",26,NA
"485","East of England","2021-11-19",26,NA
"486","East of England","2021-11-20",26,NA
"487","East of England","2021-11-21",26,NA
"488","East of England","2021-11-22",26,NA
"489","East of England","2021-11-23",26,NA
"490","East of England","2021-11-24",26,15745
"491","East of England","2021-11-25",27,NA
"492","East of England","2021-11-26",27,NA
"493","East of England","2021-11-27",27,NA
"494","East of England","2021-11-28",27,NA
"495","East of England","2021-11-29",27,NA
"496","East of England","2021-11-30",27,NA
"497","East of England","2021-12-01",27,11737
"498","East of England","2021-12-02",28,NA
"499","East of England","2021-12-03",28,NA
"500","East of England","2021-12-04",28,NA
"501","East of England","2021-12-05",28,NA
"502","East of England","2021-12-06",28,NA
"503","East of England","2021-12-07",28,NA
"504","East of England","2021-12-08",28,21075
"505","East of England","2021-12-09",29,NA
"506","East of England","2021-12-10",29,NA
"507","East of England","2021-12-11",29,NA
"508","East of England","2021-12-12",29,NA
"509","East of England","2021-12-13",29,NA
"510","East of England","2021-12-14",29,NA
"511","East of England","2021-12-15",29,26051
"512","East of England","2021-12-16",30,NA
"513","East of England","2021-12-17",30,NA
"514","East of England","2021-12-18",30,NA
"515","East of England","2021-12-19",30,NA
"516","East of England","2021-12-20",30,NA
"517","East of England","2021-12-21",30,NA
"518","East of England","2021-12-22",30,NA
"519","East of England","2021-12-23",31,NA
"520","East of England","2021-12-24",31,NA
"521","East of England","2021-12-25",31,NA
"522","East of England","2021-12-26",31,NA
"523","East of England","2021-12-27",31,NA
"524","East of England","2021-12-28",31,NA
"525","East of England","2021-12-29",31,35088
"526","East of England","2021-12-30",32,NA
"527","East of England","2021-12-31",32,NA
"528","East of England","2022-01-01",32,NA
"529","East of England","2022-01-02",32,NA
"530","East of England","2022-01-03",32,NA
"531","East of England","2022-01-04",32,NA
"532","East of England","2022-01-05",32,30676
"533","East of England","2022-01-06",33,NA
"534","East of England","2022-01-07",33,NA
"535","East of England","2022-01-08",33,NA
"536","East of England","2022-01-09",33,NA
"537","East of England","2022-01-10",33,NA
"538","East of England","2022-01-11",33,NA
"539","East of England","2022-01-12",33,20019
"540","East of England","2022-01-13",34,NA
"541","East of England","2022-01-14",34,NA
"542","East of England","2022-01-15",34,NA
"543","East of England","2022-01-16",34,NA
"544","East of England","2022-01-17",34,NA
"545","East of England","2022-01-18",34,NA
"546","East of England","2022-01-19",34,14251
"547","East of England","2022-01-20",35,NA
"548","East of England","2022-01-21",35,NA
"549","East of England","2022-01-22",35,NA
"550","East of England","2022-01-23",35,NA
"551","East of England","2022-01-24",35,NA
"552","East of England","2022-01-25",35,NA
"553","East of England","2022-01-26",35,15267
"554","East of England","2022-01-27",36,NA
"555","East of England","2022-01-28",36,NA
"556","East of England","2022-01-29",36,NA
"557","East of England","2022-01-30",36,NA
